Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
2854,-181.913,150.609,134.975,-179.794,144.56,118.095,-182.956,130.122,97.5989,-194.699,143.876,79.8894,-192.108,133.408,63.4973,0.590086,62.6773,1.09226,-62.68681653,-869.483,814.646,-78.1566,-818.3865587
2855,-181.827,150.663,135.019,-179.721,144.68,118.119,-182.911,130.371,97.531,-194.706,144.374,79.9515,-192.03,134.007,63.537,7.75605,59.934,3.97265,-60.06551676,716.597,-274.33,288.039,397.773069
2856,-181.792,150.71,135.065,-179.743,144.794,118.138,-182.954,130.652,97.4454,-194.597,144.82,80.0136,-192.034,134.619,63.5673,-0.375509,61.1603,3.02643,-61.2351335,-813.156,122.637,-94.6224,-154.8974898
2857,-181.814,150.717,135.101,-179.757,144.866,118.151,-183.017,130.84,97.4069,-194.688,145.288,80.0981,-192.016,135.165,63.6109,1.75983,54.6157,4.36008,-54.78946052,213.534,-654.459,133.365,667.9092797
2858,-181.888,150.712,135.129,-179.771,144.889,118.158,-183.022,131.045,97.3519,-194.589,145.655,80.1829,-191.989,135.679,63.6604,2.68668,51.4165,4.95315,-51.65452707,92.6852,-319.928,59.3066,325.3785457
2859,-181.984,150.701,135.143,-179.876,144.916,118.157,-183.064,131.224,97.2803,-194.681,146.051,80.2486,-191.977,136.216,63.6779,1.25021,53.6785,1.74791,-53.70695068,-143.647,226.2,-320.524,-392.303549
2860,-182.107,150.678,135.15,-179.993,144.948,118.165,-183.104,131.401,97.1947,-194.65,146.397,80.3327,-192.035,136.761,63.6992,-5.804,54.4906,2.13012,-54.53221891,-705.421,81.2113,38.2215,-89.75610458
2861,-182.238,150.652,135.186,-180.062,144.945,118.19,-183.105,131.53,97.1724,-194.708,146.752,80.428,-191.927,137.174,63.7672,10.7601,41.3418,6.80163,-41.8975727,1656.41,-1314.88,467.151,1395.399395
2862,-182.331,150.652,135.222,-180.084,144.96,118.224,-183.139,131.679,97.1424,-194.726,147.037,80.5871,-191.976,137.711,63.8369,-4.87864,53.6487,6.97002,-54.09957662,-1563.88,1230.69,16.8383,-1230.805185
2863,-182.438,150.686,135.26,-180.167,144.992,118.272,-183.08,131.857,97.1147,-194.771,147.392,80.6942,-191.983,138.239,63.874,-0.727177,52.8455,3.70443,-52.97517977,415.146,-80.3173,-326.559,336.2910186
2864,-182.527,150.789,135.257,-180.374,145.028,118.311,-183.071,132.08,97.0037,-194.917,147.688,80.806,-191.943,138.749,63.911,4.08143,51.0156,3.7007,-51.1496493,480.86,-182.986,-0.372529,182.9863792
2865,-182.604,150.954,135.211,-180.558,145.072,118.308,-183.004,132.268,96.9,-195.09,148.074,80.843,-191.993,139.325,63.9569,-5.0202,57.5349,4.59552,-57.71813859,-910.163,651.926,89.4815,-658.0383335
2866,-182.543,151.016,135.206,-180.511,145.095,118.281,-182.973,132.444,96.7606,-195.157,148.419,80.9152,-192.14,139.908,63.9982,-14.7581,58.3857,4.12688,-58.53136854,-973.791,85.0856,-46.8642,-97.1381108
2867,-182.442,150.97,135.24,-180.315,144.973,118.356,-182.791,132.514,96.7126,-195.135,148.761,80.9977,-192.054,140.386,64.0469,8.62777,47.7716,4.86448,-48.01863109,2338.59,-1061.41,73.7607,1063.969844
2868,-182.328,151.161,135.156,-180.152,144.947,118.366,-182.564,132.525,96.6978,-195.06,149,81.1491,-192.008,140.834,64.1018,4.65214,44.7869,5.49778,-45.1230761,-397.563,-298.47,63.3299,305.1147606
2869,-182.151,151.35,135.019,-179.916,144.964,118.32,-182.216,132.491,96.6505,-194.789,149.146,81.3594,-191.927,141.227,64.1744,8.07643,39.3286,7.26059,-39.99318623,342.429,-545.83,176.281,573.5899056
2870,-182.022,151.18,134.998,-179.576,144.766,118.308,-181.86,132.295,96.6273,-194.555,149.176,81.6472,-191.874,141.583,64.2994,5.29438,35.6063,12.4939,-37.73468082,-278.205,-372.231,523.329,642.2064774
2871,-182.016,150.615,135.1,-179.459,144.332,118.38,-181.682,132.05,96.6071,-194.378,149.235,81.894,-191.807,141.94,64.3903,6.68764,35.6913,9.09716,-36.83242072,139.326,8.49366,-339.672,-339.7781774
2872,-182.133,150.015,135.214,-179.493,143.819,118.458,-181.692,131.749,96.6269,-194.351,149.348,82.1049,-191.822,142.368,64.4875,-1.52588,42.8081,9.71258,-43.89610046,-821.352,711.679,61.5418,-714.33493
2873,-182.302,149.644,135.386,-179.539,143.518,118.574,-181.682,131.636,96.6914,-194.223,149.535,82.3297,-191.746,142.795,64.578,7.66218,42.6263,9.05469,-43.57738935,918.806,-18.1794,-65.7886,68.25416086
2874,-182.434,149.45,135.547,-179.589,143.391,118.757,-181.533,131.647,96.7901,-193.941,149.828,82.5218,-191.615,143.285,64.6465,13.0579,49.004,6.84559,-49.47983547,539.571,637.77,-220.91,-674.9457763
2875,-182.604,149.391,135.726,-179.634,143.371,118.915,-181.445,131.69,96.833,-193.641,150.156,82.7232,-191.441,143.817,64.6879,17.4284,53.2612,4.14699,-53.42240121,437.051,425.726,-269.86,-504.050639
2876,-182.701,149.378,135.76,-179.676,143.353,118.951,-181.362,131.7,96.7997,-193.422,150.425,82.8547,-191.384,144.365,64.7424,5.64158,54.7364,5.44861,-55.00691626,-1178.68,147.521,130.162,-196.7348258
2877,-182.749,149.342,135.672,-179.704,143.29,118.822,-181.258,131.706,96.6136,-193.32,150.758,82.953,-191.344,144.892,64.8074,4.06802,52.7546,6.49393,-53.15278871,-157.356,-198.185,104.532,224.0630118
2878,-182.803,149.223,135.43,-179.736,143.202,118.602,-181.057,131.62,96.4303,-193.07,150.96,83.1056,-191.23,145.36,64.8461,11.386,46.806,3.87132,-46.96582539,731.796,-594.854,-262.26,650.1012144
2879,-182.954,149.05,135.116,-179.742,142.944,118.341,-180.947,131.4,96.2655,-192.816,151.081,83.2741,-191.039,145.774,64.9059,19.1182,41.3314,5.98058,-41.76184818,773.221,-547.469,210.926,586.6959037
2880,-183.174,148.875,134.771,-179.902,142.693,118.051,-180.855,131.158,96.0273,-192.589,151.145,83.4386,-190.968,146.201,64.9734,7.06464,42.7395,6.75097,-43.26939399,-1205.35,140.816,77.039,-160.5121596
2881,-183.422,148.769,134.304,-180.036,142.427,117.669,-180.718,130.801,95.731,-192.284,151.147,83.645,-190.844,146.582,65.0439,12.3709,38.0918,7.05048,-38.73879832,530.63,-464.767,29.9513,465.7310862
2882,-183.802,148.664,133.688,-180.221,142.179,117.108,-180.512,130.46,95.3941,-191.991,151.016,83.8508,-190.673,146.952,65.1343,17.0946,37.0294,9.03681,-38.11614355,472.367,-106.245,198.632,225.2613403
2883,-184.238,148.56,133.056,-180.424,141.945,116.591,-180.344,130.145,94.9705,-191.661,150.976,84.0283,-190.562,147.383,65.1975,11.1431,43.0509,6.32405,-43.51291302,-595.152,602.156,-271.276,-660.441153
2884,-184.773,148.369,132.48,-180.696,141.71,116.069,-180.105,129.938,94.5772,-191.548,150.918,84.1717,-190.423,147.746,65.2772,13.8566,36.341,7.96616,-37.20387058,271.35,-670.999,164.211,690.8001958
2885,-185.411,148.116,131.789,-181.042,141.428,115.549,-179.87,129.672,94.2406,-191.468,150.685,84.3777,-190.461,148.075,65.3589,-3.77148,32.9062,8.17701,-33.90695343,-1762.81,-343.472,21.0851,344.1185787
2886,-186.005,147.593,131.01,-181.378,140.911,114.887,-179.754,129.372,93.6713,-191.678,150.423,84.4914,-190.574,148.325,65.4384,-11.2489,25.0056,7.94381,-26.23707584,-747.74,-790.06,-23.3203,790.4040992
2887,-186.538,146.807,130.14,-181.6,140.213,114.077,-179.776,128.957,92.972,-191.879,150.163,84.5392,-190.668,148.533,65.4909,-9.45479,20.8169,5.25638,-21.47027844,179.41,-418.872,-268.742,497.6705888
2888,-186.829,145.841,129.281,-181.854,139.365,113.257,-179.758,128.387,92.2954,-192.056,149.696,84.6076,-190.733,148.608,65.5495,-6.45965,7.42525,5.85765,-9.457610749,299.513,-1339.17,60.1262,1340.519097
2889,-187.095,144.778,128.448,-181.905,138.518,112.542,-179.675,127.794,91.7855,-192.188,149.082,84.6441,-190.842,148.518,65.597,-10.8972,-8.96007,4.74825,10.14045031,-443.757,-1638.53,-110.939,1642.281347
2890,-187.182,144.337,127.693,-181.775,138.124,111.901,-179.691,127.495,91.2396,-192.126,148.764,84.6924,-190.87,148.578,65.6297,-2.87741,6.04391,3.26857,-6.87112785,801.98,1500.4,-147.969,-1507.678674
2891,-187.062,144.493,126.77,-181.362,138.164,111.26,-179.02,127.506,90.9013,-191.94,148.6,84.756,-190.789,148.665,65.6058,8.18521,8.67099,-2.38717,-8.993589283,1106.26,262.707,-565.574,-623.6095873
2892,-186.964,144.544,125.833,-180.945,138.233,110.631,-178.102,127.644,90.6909,-191.505,148.269,84.8238,-190.666,148.708,65.6128,12.2398,4.32879,0.698864,-4.38484136,405.461,-434.22,308.603,532.7126993
2893,-187.022,144.36,125.105,-180.658,138.115,110.149,-177.587,127.571,90.5094,-191.375,147.911,84.8735,-190.692,148.726,65.6442,-2.61962,1.71363,3.14042,-3.577536241,-1485.94,-261.515,244.156,357.7740174
2894,-186.944,144.038,124.749,-180.57,137.863,109.877,-177.525,127.4,90.2267,-191.358,147.644,84.9411,-190.76,148.874,65.6649,-6.73383,14.8475,2.06456,-14.99035237,-411.421,1313.39,-107.586,-1317.789072
2895,-186.884,143.794,124.599,-180.534,137.642,109.749,-177.395,127.282,90.1687,-191.278,147.578,85.0177,-190.731,149.1,65.7293,2.84016,22.5931,6.44848,-23.49534128,957.4,774.562,438.392,-890.0190096
2896,-186.981,143.675,124.671,-180.523,137.619,109.912,-177.11,127.482,90.3548,-191.082,147.632,85.2517,-190.673,149.391,65.8445,5.85169,29.1526,11.5164,-31.34488085,301.152,655.949,506.788,-828.9168641
2897,-187.362,143.503,125.033,-180.583,137.754,110.309,-176.709,127.794,91.0034,-190.71,147.542,85.7086,-190.676,149.496,66.1781,-0.320375,10.4159,33.3592,-34.94749201,-617.206,-1873.67,2184.29,2877.805079
